,date,rev,discount
337,2019-12-04,2424065.9798506666,1510358.0
338,2019-12-05,1957351.1715809463,1036398.0
339,2019-12-06,2030903.559611431,1102856.0
340,2019-12-07,1878773.933904763,1140405.0
341,2019-12-08,1879213.921310475,1025025.0
342,2019-12-09,1843166.7735466657,1111455.0
343,2019-12-10,2155975.903565708,1179312.0
344,2019-12-11,2245746.071686857,1491082.0
345,2019-12-12,2257859.274133336,1204712.0
346,2019-12-13,2444012.802102095,1504218.0
347,2019-12-14,2432429.808499055,1528610.0
348,2019-12-15,2062665.6029866645,1193771.0
349,2019-12-16,3216963.9268190553,1236225.0
350,2019-12-17,2078496.8356419054,1287716.0
351,2019-12-18,2213928.050125716,1304443.0
352,2019-12-19,2541818.4409066685,1241234.0
353,2019-12-20,1523634.272655237,896344.0
354,2019-12-21,1800980.5182933349,1064668.0
355,2019-12-22,1800586.7515260945,1144239.0
356,2019-12-23,1796084.4656571439,1056032.0
357,2019-12-24,2288784.931578671,1299856.0
358,2019-12-25,2491586.0558819002,1558475.0
359,2019-12-26,3045056.0386057035,1852376.0
360,2019-12-27,2998059.862472373,1900285.0
361,2019-12-28,2827435.289085717,1618677.0
362,2019-12-29,2815157.0053980867,1667215.0
363,2019-12-30,2884411.4048380987,1836925.0
364,2019-12-31,2461089.0471771443,1549898.0
